"langue_sujet","code_langue_sujet","sujet"
"http://lexvo.org/id/iso639-3/ayl","ayl","Description"
"http://lexvo.org/id/iso639-3/ayl","ayl","Folktale"
"http://lexvo.org/id/iso639-3/ayl","ayl","http://lexvo.org/id/iso639-3/ayl"
"http://lexvo.org/id/iso639-3/ayl","ayl","http://www.language-archives.org/vocabulary/field#anthropological_linguistics"
"http://lexvo.org/id/iso639-3/ayn","ayn","Yemeni Arabic (Sanaa dialect)"
"http://lexvo.org/id/iso639-3/ayn","ayn","Yemeni Arabic (Zabid dialect)"
"http://lexvo.org/id/iso639-3/ayn","ayn","Arabe Yéménite (dialecte de Sanaa)"
"http://lexvo.org/id/iso639-3/ayn","ayn","Arabe Yéménite (dialecte de Zabid)"
"http://lexvo.org/id/iso639-3/ayn","ayn","http://lexvo.org/id/iso639-3/ayn"
"http://lexvo.org/id/iso639-3/bak","bak","Bashkir"
"http://lexvo.org/id/iso639-3/bak","bak","http://lexvo.org/id/iso639-3/bak"
"http://lexvo.org/id/iso639-3/bak","bak","http://www.language-archives.org/vocabulary/field#anthropological_linguistics"
"http://lexvo.org/id/iso639-3/bam","bam","Bambara"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb11939724k"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb119404970"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb11940618d"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb11945385x"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb119570237"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb135108434"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb13511146g"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb14570636p"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb145772577"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb15076890r"
"http://lexvo.org/id/iso639-3/bam","bam","http://data.bnf.fr/ark:/12148/cb16716855b"
"http://lexvo.org/id/iso639-3/bam","bam","Bambara"
"http://lexvo.org/id/iso639-3/bam","bam","http://lexvo.org/id/iso639-3/bam"
"http://lexvo.org/id/iso639-3/bam","bam","http://www.language-archives.org/vocabulary/field#sociolinguistics"
"http://lexvo.org/id/iso639-3/ban","ban","Balinais"
"http://lexvo.org/id/iso639-3/ban","ban","http://data.bnf.fr/ark:/12148/cb119578761"
"http://lexvo.org/id/iso639-3/ban","ban","http://data.bnf.fr/ark:/12148/cb12252205k"
"http://lexvo.org/id/iso639-3/ban","ban","http://data.bnf.fr/ark:/12148/cb135108434"
"http://lexvo.org/id/iso639-3/ban","ban","http://data.bnf.fr/ark:/12148/cb15569917b"
"http://lexvo.org/id/iso639-3/ban","ban","http://data.bnf.fr/ark:/12148/cb15619124j"
"http://lexvo.org/id/iso639-3/ban","ban","http://data.bnf.fr/ark:/12148/cb169127810"
"http://lexvo.org/id/iso639-3/ban","ban","http://data.bnf.fr/ark:/12148/cb170403521"
"http://lexvo.org/id/iso639-3/ban","ban","http://lexvo.org/id/iso639-3/ban"
"http://lexvo.org/id/iso639-3/bej","bej","Bedja"
"http://lexvo.org/id/iso639-3/bej","bej","Beja"
"http://lexvo.org/id/iso639-3/bej","bej","conte"
"http://lexvo.org/id/iso639-3/bej","bej","humour"
"http://lexvo.org/id/iso639-3/bej","bej","linguistique"
"http://lexvo.org/id/iso639-3/bej","bej","récit historique"
"http://lexvo.org/id/iso639-3/bej","bej","Anecdote"
"http://lexvo.org/id/iso639-3/bej","bej","Description of children game"
"http://lexvo.org/id/iso639-3/bej","bej","Description of trapping technique"
"http://lexvo.org/id/iso639-3/bej","bej","Folktale"
"http://lexvo.org/id/iso639-3/bej","bej","Humor"
"http://lexvo.org/id/iso639-3/bej","bej","Interview about hotel functionning"
"http://lexvo.org/id/iso639-3/bej","bej","Interview about life style at Sinkat"
"http://lexvo.org/id/iso639-3/bej","bej","Interview about liket at Erkowit"
"http://lexvo.org/id/iso639-3/bej","bej","Joke"
"http://lexvo.org/id/iso639-3/bej","bej","Personal experience story"
"http://lexvo.org/id/iso639-3/bej","bej","Poem"
"http://lexvo.org/id/iso639-3/bej","bej","Poetry"
"http://lexvo.org/id/iso639-3/bej","bej","Procedural"
"http://lexvo.org/id/iso639-3/bej","bej","Religious story"
"http://lexvo.org/id/iso639-3/bej","bej","Tale"
"http://lexvo.org/id/iso639-3/bej","bej","Tale with two poems"
"http://lexvo.org/id/iso639-3/bej","bej","anecdote"
"http://lexvo.org/id/iso639-3/bej","bej","interview about a wedding customs"
"http://lexvo.org/id/iso639-3/bej","bej","joke"
"http://lexvo.org/id/iso639-3/bej","bej","poem"
"http://lexvo.org/id/iso639-3/bej","bej","procedure"
"http://lexvo.org/id/iso639-3/bej","bej","spar"
"http://lexvo.org/id/iso639-3/bej","bej","tale"
"http://lexvo.org/id/iso639-3/bej","bej","tradition description"
"http://lexvo.org/id/iso639-3/bej","bej","traditional use of stick"
"http://lexvo.org/id/iso639-3/bej","bej","http://lexvo.org/id/iso639-3/bej"
"http://lexvo.org/id/iso639-3/bej","bej","http://www.language-archives.org/vocabulary/field#anthropological_linguistics"
"http://lexvo.org/id/iso639-3/ben","ben","bangali"
"http://lexvo.org/id/iso639-3/ben","ben","bengali"
"http://lexvo.org/id/iso639-3/ben","ben","http://lexvo.org/id/iso639-3/ben"
"http://lexvo.org/id/iso639-3/ben","ben","http://www.language-archives.org/vocabulary/field#sociolinguistics"
"http://lexvo.org/id/iso639-3/bfq","bfq","Badaga"
"http://lexvo.org/id/iso639-3/bfq","bfq","http://lexvo.org/id/iso639-3/bfq"
"http://lexvo.org/id/iso639-3/bhj","bhj","Bahing"
"http://lexvo.org/id/iso639-3/bhj","bhj","http://lexvo.org/id/iso639-3/bhj"
"http://lexvo.org/id/iso639-3/bis","bis","Araki"
"http://lexvo.org/id/iso639-3/bis","bis","Bislama"
"http://lexvo.org/id/iso639-3/bis","bis","Dorig"
"http://lexvo.org/id/iso639-3/bis","bis","Hiw"
"http://lexvo.org/id/iso639-3/bis","bis","Koro"
"http://lexvo.org/id/iso639-3/bis","bis","Lakon"
"http://lexvo.org/id/iso639-3/bis","bis","Lemerig"
"http://lexvo.org/id/iso639-3/bis","bis","Mwerlap"
"http://lexvo.org/id/iso639-3/bis","bis","Mwotlap"
"http://lexvo.org/id/iso639-3/bis","bis","Olrat"
"http://lexvo.org/id/iso639-3/bis","bis","Toga"
"http://lexvo.org/id/iso639-3/bis","bis","Vera'a"
"http://lexvo.org/id/iso639-3/bis","bis","Vurës"
"http://lexvo.org/id/iso639-3/bis","bis","Araki"
"http://lexvo.org/id/iso639-3/bis","bis","http://lexvo.org/id/iso639-3/akr"
"http://lexvo.org/id/iso639-3/bis","bis","http://lexvo.org/id/iso639-3/lrz"
"http://lexvo.org/id/iso639-3/bis","bis","http://lexvo.org/id/iso639-3/mrm"
"http://lexvo.org/id/iso639-3/bis","bis","http://lexvo.org/id/iso639-3/vra"
"http://lexvo.org/id/iso639-3/bis","bis","http://www.language-archives.org/vocabulary/field#general_linguistics"
"http://lexvo.org/id/iso639-3/bis","bis","Mwotlap"
